Total population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Congo, Rep.","1,335,088","1,375,987","1,418,826","1,463,231","1,508,675","1,554,793","1,601,410","1,648,671","1,696,922","1,746,676","1,798,285","1,851,889","1,907,330","1,964,298","2,022,343","2,081,152","2,140,687","2,201,097","2,262,489","2,325,035","2,388,902","2,453,938","2,520,196","2,588,270","2,658,948","2,732,706","2,810,118","2,890,841","2,973,329","3,055,437","3,135,773","3,213,330","3,288,923","3,365,171","3,445,765","3,533,177","3,628,561","3,730,612","3,836,339","3,941,454","4,042,899","4,139,748","4,233,063","4,324,199"
Cook Islands,"21,406","21,507","21,423","21,177","20,808","20,356","19,812","19,185","18,552","18,010","17,627","17,441","17,429","17,531","17,652","17,725","17,726","17,678","17,613","17,580","17,614","17,730","17,909","18,105","18,252","18,307","18,246","18,095","17,919","17,808","17,830","18,007","18,311","18,693","19,075","19,402","19,659","19,861","20,019","20,156","20,288","20,414","20,528","20,635"
Costa Rica,"1,820,379","1,865,039","1,908,913","1,953,184","1,999,429","2,048,812","2,101,762","2,158,073","2,217,457","2,279,362","2,343,345","2,409,385","2,477,549","2,547,555","2,619,058","2,691,778","2,765,657","2,840,660","2,916,566","2,993,136","3,070,240","3,147,451","3,224,849","3,303,412","3,384,498","3,468,918","3,557,095","3,648,263","3,740,578","3,831,504","3,919,180","4,002,946","4,083,197","4,160,438","4,235,605","4,309,413","4,381,820","4,452,608","4,522,124","4,590,790","4,658,887","4,726,575","4,793,725","4,859,957"
Cote d'Ivoire,"5,416,416","5,655,462","5,909,848","6,180,001","6,466,158","6,768,313","7,086,257","7,419,474","7,767,109","8,128,032","8,500,985","8,885,888","9,281,593","9,684,478","10,089,976","10,494,827","10,896,269","11,294,791","11,694,318","12,100,741","12,517,730","12,945,880","13,381,799","13,820,229","14,253,952","14,677,200","15,089,912","15,492,127","15,878,555","16,242,889","16,581,653","16,892,864","17,180,649","17,455,501","17,731,840","18,020,946","18,325,979","18,646,754","18,987,007","19,350,026","19,737,800","20,152,894","20,594,615","21,057,316"
Croatia,"4,169,217","4,183,960","4,201,302","4,220,795","4,241,669","4,263,294","4,285,523","4,308,344","4,331,398","4,354,275","4,376,608","4,398,610","4,420,169","4,440,263","4,457,579","4,471,404","4,480,137","4,484,450","4,488,560","4,498,278","4,517,200","4,548,076","4,588,173","4,628,968","4,658,613","4,669,001","4,656,706","4,625,390","4,582,742","4,540,042","4,505,533","4,481,620","4,466,013","4,456,587","4,449,522","4,441,986","4,433,791","4,425,995","4,418,387","4,410,864","4,403,330","4,395,560","4,387,376","4,378,806"
Cuba,"8,701,886","8,855,989","9,010,586","9,160,532","9,298,895","9,420,828","9,525,242","9,614,061","9,689,324","9,754,343","9,812,223","9,862,283","9,905,577","9,949,046","10,001,593","10,069,187","10,155,111","10,256,694","10,366,500","10,473,701","10,570,328","10,654,121","10,727,088","10,790,686","10,847,842","10,900,795","10,949,206","10,992,290","11,031,429","11,068,382","11,104,313","11,140,168","11,175,434","11,208,029","11,234,970","11,254,242","11,265,124","11,268,687","11,266,905","11,262,628","11,257,979","11,253,665","11,249,266","11,244,424"
Cyprus,"613,735","620,987","628,140","635,261","642,496","649,918","657,685","665,676","673,386","680,130","685,510","689,265","691,792","694,146","697,782","703,752","712,396","723,434","736,531","751,100","766,663","783,189","800,707","818,858","837,205","855,424","873,277","890,758","908,059","925,504","943,294","961,482","979,874","998,134","1,015,806","1,032,562","1,048,272","1,063,027","1,077,001","1,090,473","1,103,647","1,116,564","1,129,166","1,141,453"
Czech Rep.,"9,788,863","9,819,749","9,855,516","9,896,416","9,942,472","9,993,206","10,049,465","10,110,020","10,169,747","10,221,861","10,261,606","10,286,947","10,299,490","10,302,679","10,301,798","10,300,844","10,300,475","10,299,854","10,299,711","10,300,582","10,302,718","10,307,130","10,313,662","10,319,923","10,322,561","10,319,337","10,310,016","10,295,984","10,278,707","10,260,335","10,242,890","10,225,701","10,209,500","10,199,327","10,201,665","10,220,638","10,258,796","10,313,525","10,377,359","10,439,735","10,492,960","10,534,293","10,565,678","10,589,806"
Czechoslovakia,"14,319,099","14,381,376","14,455,591","14,549,273","14,657,870","14,771,737","14,883,683","14,989,718","15,088,911","15,182,228","15,254,684","15,311,596","15,351,747","15,388,264","15,423,304","15,454,794","15,480,920","15,510,915","15,537,004","15,559,005","15,572,130","15,586,768","15,618,590","15,650,011","15,675,429","15,685,424","15,685,007","15,683,717","15,681,185","15,676,175","15,670,448","15,666,989","15,666,347","15,667,493","15,669,745","15,672,501","15,674,903","15,676,246","15,676,318",,,,,
Denmark,"4,928,704","4,959,083","4,987,806","5,014,503","5,038,752","5,060,227","5,079,015","5,095,133","5,108,145","5,117,514","5,123,026","5,124,545","5,122,696","5,118,998","5,115,476","5,113,701","5,114,172","5,116,854","5,122,098","5,130,127","5,141,034","5,155,038","5,172,040","5,191,370","5,212,071","5,233,364","5,255,213","5,277,572","5,299,649","5,320,488","5,339,501","5,356,055","5,370,507","5,384,487","5,400,280","5,419,444","5,442,644","5,469,130","5,497,312","5,524,874","5,550,142","5,572,594","5,592,738","5,611,187"
Djibouti,"161,622","171,519","181,622","192,922","206,763","223,963","245,326","270,222","296,307","320,332","340,133","354,304","363,940","372,386","384,409","403,221","430,367","464,202","500,876","534,862","562,290","581,641","594,437","603,534","613,219","626,537","644,434","665,755","688,940","711,573","731,930","749,604","765,283","779,640","793,738","808,367","823,682","839,453","855,636","872,090","888,716","905,564","922,708","940,090"
Dominica,"71,076","71,567","71,737","71,745","71,811","72,092","72,648","73,412","74,240","74,922","75,312","75,374","75,166","74,747","74,212","73,637","73,022","72,365","71,740","71,240","70,926","70,842","70,962","71,181","71,350","71,364","71,184","70,846","70,419","70,003","69,672","69,447","69,301","69,200","69,087","68,925","68,700","68,434","68,159","67,922","67,757","67,675","67,665","67,702"
Dominican Rep.,"4,511,577","4,637,627","4,764,319","4,891,500","5,019,002","5,146,742","5,274,591","5,402,683","5,531,528","5,661,827","5,794,074","5,928,429","6,064,722","6,202,698","6,341,950","6,482,152","6,623,094","6,764,750","6,907,171","7,050,480","7,194,666","7,339,826","7,485,619","7,631,076","7,774,932","7,916,309","8,054,768","8,190,620","8,324,680","8,458,164","8,591,967","8,726,256","8,860,760","8,995,398","9,129,965","9,264,267","9,398,285","9,531,954","9,664,948","9,796,852","9,927,320","10,056,181","10,183,339","10,308,609"
East Germany,,,,"16,890,000",,,,,,,,,,,,,,,,,"16,111,000","15,910,000",,,,,,,,,,,,,,,,,"16,384,470",,,,,
Ecuador,"5,972,464","6,150,690","6,333,049","6,519,792","6,711,284","6,907,740","7,109,119","7,315,156","7,525,548","7,739,894","7,957,811","8,178,948","8,403,034","8,629,832","8,859,125","9,090,592","9,323,745","9,557,974","9,792,658","10,027,109","10,260,587","10,493,498","10,725,281","10,953,182","11,173,647","11,384,506","11,584,074","11,774,005","11,959,586","12,148,188","12,345,023","12,552,036","12,767,415","12,987,992","13,208,869","13,426,402","13,639,708","13,849,721","14,056,740","14,261,566","14,464,739","14,666,055","14,864,987","15,061,398"
Egypt,"35,923,283","36,751,162","37,577,248","38,409,289","39,258,086","40,132,189","41,033,408","41,961,731","42,921,556","43,917,526","44,952,497","46,025,305","47,133,557","48,276,547","49,453,054","50,659,625","51,899,728","53,166,492","54,433,720","55,667,119","56,843,275","57,952,386","59,004,372","60,020,423","61,032,081","62,063,810","63,120,498","64,199,588","65,309,201","66,457,136","67,648,419","68,888,032","70,174,632","71,498,433","72,844,998","74,203,215","75,568,453","76,941,572","78,323,298","79,716,203","81,121,077","82,536,770","83,958,369","85,378,440"
El Salvador,"3,736,311","3,836,884","3,937,757","4,037,935","4,136,133","4,231,358","4,323,383","4,412,237","4,497,535","4,578,922","4,656,263","4,729,467","4,798,918","4,865,611","4,930,893","4,995,888","5,060,307","5,124,240","5,189,565","5,258,654","5,332,842","5,413,269","5,498,489","5,584,047","5,663,820","5,733,401","5,791,403","5,839,103","5,878,097","5,911,094","5,940,305","5,966,027","5,988,233","6,008,523","6,028,792","6,050,513","6,074,487","6,100,868","6,129,628","6,160,423","6,192,993","6,227,491","6,264,129","6,302,723"
Equatorial Guinea,"290,907","284,913","274,893","262,377","249,569","238,240","228,534","220,448","215,415","215,116","220,582","232,676","250,712","272,217","293,701","312,634","328,119","340,825","351,694","362,325","373,887","386,536","399,843","413,730","428,005","442,527","457,321","472,486","488,039","504,001","520,380","537,195","554,429","571,999","589,794","607,739","625,777","643,936","662,327","681,115","700,401","720,213","740,471","761,050"
Eritrea,"1,847,000","1,896,028","1,946,213","1,998,632","2,054,727","2,115,400","2,181,178","2,251,397","2,324,290","2,397,387","2,468,902","2,537,333","2,602,966","2,667,868","2,735,121","2,806,456","2,884,388","2,967,048","3,046,674","3,112,654","3,158,295","3,180,430","3,184,019","3,180,541","3,186,063","3,212,503","3,263,016","3,335,157","3,428,264","3,539,885","3,667,576","3,812,473","3,973,973","4,145,500","4,318,343","4,486,155","4,645,837","4,798,561","4,947,521","5,097,998","5,253,676","5,415,280","5,580,862","5,748,304"
Eritrea and Ethiopia,"31,628,964","32,307,998","33,030,559","33,786,014","34,579,876","35,396,905","36,294,034","37,130,441","37,754,295","38,221,073","38,605,198","39,649,026","40,749,053","41,898,385","42,831,710","43,487,134","44,500,074","45,915,489","47,584,614","49,386,315","51,193,511","53,584,960","55,756,999","57,190,199","58,770,464","60,487,061","62,209,971","63,919,620","65,620,416","67,372,393","69,046,633","70,669,297","72,361,662","74,098,224","75,890,979","77,722,924","79,564,975","81,418,472","83,282,565",,,,,
Estonia,"1,365,002","1,379,574","1,394,029","1,407,932","1,420,709","1,431,998","1,441,551","1,449,609","1,456,892","1,464,417","1,472,898","1,482,176","1,491,897","1,502,292","1,513,617","1,525,790","1,539,549","1,554,175","1,566,396","1,571,840","1,567,631","1,552,370","1,527,660","1,497,364","1,467,016","1,440,710","1,419,727","1,403,188","1,390,414","1,379,962","1,370,749","1,362,823","1,356,644","1,351,955","1,348,449","1,345,857","1,344,038","1,342,873","1,342,145","1,341,629","1,341,140","1,340,537","1,339,762","1,338,832"
Ethiopia,"28,959,382","29,777,985","30,642,920","31,503,206","32,289,683","32,958,964","33,486,288","33,903,618","34,294,030","34,773,640","35,426,282","36,282,554","37,319,328","38,500,829","39,768,079","41,077,517","42,417,873","43,802,479","45,240,322","46,747,612","48,333,261","49,998,845","51,730,288","53,502,211","55,281,054","57,042,197","58,774,378","60,481,739","62,174,171","63,868,806","65,577,897","67,303,731","69,040,669","70,784,012","72,526,620","74,263,861","75,993,403","77,718,436","79,446,419","81,187,751","82,949,541","84,734,262","86,538,534","88,356,373"
Faeroe Islands,"38,547","38,928","39,288","39,641","40,008","40,403","40,829","41,281","41,757","42,258","42,779","43,305","43,831","44,364","44,920","45,497","46,133","46,802","47,370","47,659","47,558","46,995","46,050","44,953","44,022","43,483","43,416","43,746","44,358","45,070","45,743","46,358","46,944","47,472","47,915","48,258","48,475","48,572","48,597","48,625","48,708","48,863","49,075","49,326"
Falkland Islands (Malvinas),"1,991","1,975","1,960","1,946","1,932","1,917","1,903","1,889","1,877","1,866","1,856","1,850","1,846","1,845","1,849","1,856","1,867","1,881","1,905","1,941","1,993","2,062","2,144","2,239","2,338","2,439","2,541","2,642","2,737","2,818","2,881","2,922","2,942","2,950","2,953","2,958","2,967","2,979","2,993","3,006","3,017","3,027","3,036","3,045"
Fiji,"520,555","531,631","542,846","554,147","565,426","576,634","587,565","598,298","609,387","621,579","635,297","651,006","668,259","685,461","700,434","711,703","718,535","721,637","722,753","724,404","728,390","735,262","744,396","754,981","765,725","775,651","784,713","793,165","800,685","806,927","811,718","814,780","816,336","817,339","819,102","822,553","828,046","835,267","843,651","852,323","860,623","868,406","875,822","882,863"
Finland,"4,605,998","4,622,759","4,644,371","4,668,510","4,691,674","4,711,432","4,726,845","4,739,016","4,750,001","4,762,803","4,779,488","4,800,928","4,826,163","4,853,221","4,879,235","4,902,206","4,921,232","4,937,130","4,951,685","4,967,527","4,986,441","5,009,160","5,034,766","5,061,394","5,086,368","5,107,802","5,125,177","5,139,257","5,151,024","5,161,995","5,173,370","5,185,180","5,197,305","5,210,595","5,226,067","5,244,342","5,265,936","5,290,431","5,316,334","5,341,546","5,364,546","5,384,770","5,402,627","5,418,763"
France,"50,763,212","51,161,640","51,572,812","51,980,081","52,358,648","52,691,826","52,974,009","53,214,788","53,431,051","53,646,954","53,880,143","54,135,673","54,408,866","54,695,692","54,988,578","55,281,465","55,575,215","55,870,924","56,162,822","56,443,567","56,708,260","56,956,057","57,189,616","57,412,239","57,628,904","57,844,501","58,057,570","58,270,419","58,496,138","58,751,572","59,047,795","59,390,720","59,774,531","60,183,884","60,596,691","60,996,506","61,378,065","61,744,596","62,098,413","62,444,770","62,787,427","63,125,894","63,457,777","63,782,963"
French Guiana,"48,561","50,282","51,945","53,580","55,233","56,949","58,740","60,634","62,711","65,073","67,799","70,882","74,316","78,174","82,548","87,473","93,019","99,097","105,392","111,472","117,038","121,979","126,405","130,513","134,605","138,916","143,449","148,169","153,227","158,797","164,983","171,889","179,424","187,247","194,882","201,993","208,451","214,366","219,931","225,451","231,151","237,080","243,172","249,408"
French Polynesia,"110,872","114,591","118,303","122,041","125,862","129,803","133,865","138,027","142,290","146,651","151,098","155,637","160,251","164,893","169,500","174,024","178,450","182,788","187,044","191,237","195,383","199,464","203,481","207,494","211,583","215,798","220,172","224,667","229,171","233,532","237,638","241,448","245,000","248,357","251,622","254,870","258,119","261,345","264,541","267,685","270,764","273,777","276,731","279,632"
Gabon,"529,526","539,728","551,811","565,441","580,101","595,417","611,293","627,846","645,160","663,387","682,641","702,923","724,185","746,424","769,635","793,810","818,863","844,775","871,675","899,739","929,044","959,631","991,289","1,023,531","1,055,707","1,087,327","1,118,215","1,148,416","1,177,936","1,206,862","1,235,274","1,263,165","1,290,532","1,317,484","1,344,171","1,370,729","1,397,192","1,423,637","1,450,310","1,477,514","1,505,463","1,534,262","1,563,873","1,594,205"
Gambia,"458,663","472,432","487,790","504,267","521,186","538,110","554,910","571,891","589,570","608,680","629,786","652,817","677,685","704,894","735,056","768,460","805,491","845,642","887,224","927,937","966,151","1,001,252","1,033,748","1,064,522","1,094,974","1,126,183","1,158,308","1,191,155","1,225,044","1,260,283","1,297,084","1,335,674","1,376,035","1,417,818","1,460,493","1,503,678","1,547,259","1,591,357","1,636,107","1,681,734","1,728,394","1,776,103","1,824,777","1,874,360"
Georgia,"4,707,491","4,749,634","4,791,473","4,832,396","4,871,428","4,907,996","4,941,721","4,973,247","5,004,247","5,036,986","5,073,000","5,111,551","5,151,606","5,193,836","5,239,068","5,287,002","5,339,661","5,394,502","5,441,216","5,466,100","5,459,999","5,418,521","5,346,229","5,254,049","5,157,814","5,069,269","4,992,336","4,924,569","4,863,694","4,805,140","4,745,765","4,685,331","4,626,034","4,569,880","4,519,607","4,477,006","4,442,825","4,415,956","4,394,018","4,373,630","4,352,244","4,329,026","4,304,363","4,278,410"
Germany,"78,169,287","78,398,250","78,549,958","78,635,758","78,672,415","78,673,559","78,648,816","78,600,404","78,526,576","78,422,458","78,288,577","78,124,452","77,944,929","77,784,306","77,686,865","77,684,875","77,783,439","77,974,722","78,260,173","78,637,382","79,098,094","79,651,903","80,282,985","80,926,118","81,495,194","81,929,441","82,200,333","82,326,019","82,350,467","82,341,545","82,349,027","82,384,256","82,432,026","82,484,111","82,524,343","82,540,739","82,536,138","82,516,297","82,475,271","82,405,365","82,302,465","82,162,512","81,990,837","81,804,228"
Ghana,"8,681,818","8,911,291","9,167,822","9,435,673","9,692,196","9,922,663","10,119,038","10,290,712","10,461,377","10,664,342","10,922,708","11,246,007","11,624,726","12,039,663","12,462,279","12,871,965","13,261,929","13,638,708","14,010,951","14,392,619","14,793,415","15,216,133","15,655,847","16,105,502","16,554,855","16,996,901","17,429,209","17,855,250","18,281,113","18,715,676","19,165,490","19,632,265","20,114,361","20,610,897","21,119,911","21,639,806","22,170,556","22,712,403","23,264,176","23,824,402","24,391,823","24,965,816","25,545,939","26,131,336"
Gibraltar,"24,654","24,838","24,985","25,117","25,262","25,440","25,663","25,920","26,182","26,406","26,565","26,648","26,667","26,647","26,619","26,608","26,620","26,650","26,697","26,757","26,830","26,921","27,032","27,145","27,233","27,283","27,279","27,231","27,188","27,214","27,348","27,615","27,989","28,410","28,793","29,075","29,237","29,296","29,287","29,257","29,244","29,254","29,278","29,309"
Greece,"8,793,002","8,833,582","8,870,711","8,912,166","8,968,522","9,046,544","9,149,987","9,274,357","9,408,034","9,534,673","9,642,504","9,728,220","9,795,461","9,848,045","9,892,518","9,934,292","9,972,624","10,007,304","10,045,020","10,094,241","10,160,501","10,247,132","10,351,229","10,464,295","10,574,134","10,671,809","10,754,641","10,824,894","10,884,604","10,937,612","10,986,883","11,032,395","11,073,334","11,111,072","11,147,261","11,183,114","11,219,300","11,255,717","11,291,807","11,326,596","11,359,346","11,390,031","11,418,878","11,445,691"
Greenland,"46,431","47,420","48,209","48,814","49,263","49,586","49,775","49,844","49,873","49,969","50,208","50,619","51,180","51,842","52,527","53,173","53,777","54,348","54,854","55,263","55,552","55,705","55,735","55,688","55,631","55,617","55,657","55,742","55,867","56,022","56,196","56,395","56,618","56,844","57,041","57,190","57,280","57,316","57,317","57,304","57,296","57,296","57,300","57,300"
Grenada,"94,393","94,140","93,896","93,588","93,108","92,408","91,386","90,134","89,011","88,508","88,936","90,504","93,015","95,903","98,359","99,824","100,062","99,296","97,978","96,785","96,200","96,368","97,113","98,212","99,313","100,163","100,707","101,039","101,219","101,354","101,522","101,731","101,954","102,195","102,455","102,734","103,037","103,368","103,723","104,097","104,487","104,890","105,303","105,719"
Guadeloupe,"320,063","322,773","325,123","326,970","328,124","328,514","328,008","326,826","325,673","325,493","326,951","330,293","335,282","341,489","348,247","355,037","361,790","368,563","375,102","381,130","386,465","390,937","394,606","397,815","401,061","404,700","408,845","413,372","418,110","422,791","427,214","431,337","435,222","438,895","442,413","445,814","449,103","452,253","455,247","458,057","460,666","463,069","465,282","467,335"
Guam,"85,459","87,402","89,350","91,316","93,322","95,380","97,496","99,669","101,903","104,204","106,572","109,001","111,489","114,050","116,705","119,464","122,333","125,288","128,260","131,157","133,914","136,518","138,981","141,304","143,492","145,559","147,481","149,279","151,065","152,987","155,147","157,596","160,292","163,121","165,918","168,565","171,024","173,334","175,538","177,707","179,896","182,111","184,334","186,562"
Guatemala,"5,447,687","5,597,742","5,752,386","5,910,205","6,069,254","6,228,224","6,386,403","6,544,422","6,703,955","6,867,413","7,036,484","7,211,938","7,393,131","7,578,625","7,766,291","7,954,682","8,143,365","8,333,124","8,525,211","8,721,429","8,923,131","9,131,088","9,345,130","9,564,571","9,788,284","10,015,675","10,246,429","10,481,515","10,723,154","10,974,314","11,237,101","11,512,637","11,800,351","12,098,576","12,404,764","12,717,154","13,034,904","13,358,842","13,690,846","14,033,623","14,388,929","14,757,316","15,137,569","15,527,502"
Guernsey,"53,287","53,759","53,818","53,827","53,792","53,721","53,630","53,555","53,485","53,422","53,360","53,415","53,846","54,280","54,718","55,159","58,440","59,441","60,484","61,544","62,623","61,289","61,675","62,037","62,367","62,668","62,951","63,243","63,527","63,806","64,080","64,342","64,587","64,818","65,031","65,228","65,409","65,573","65,726",,,,,
Guinea,"4,153,653","4,195,876","4,228,217","4,252,351","4,270,991","4,286,863","4,300,114","4,312,321","4,329,468","4,359,115","4,406,831","4,477,191","4,569,938","4,679,999","4,799,450","4,923,603","5,045,781","5,170,120","5,315,182","5,506,436","5,759,374","6,083,795","6,466,435","6,871,525","7,249,558","7,565,235","7,805,735","7,982,155","8,112,650","8,226,138","8,344,486","8,472,339","8,604,936","8,743,954","8,889,321","9,041,448","9,201,941","9,373,619","9,559,110","9,761,217","9,981,590","10,221,808","10,480,710","10,753,680"
Guinea-Bissau,"602,916","613,847","628,890","647,703","669,656","694,113","721,220","750,655","780,721","809,221","834,611","856,143","874,270","890,152","905,580","921,889","939,371","957,688","976,802","996,520","1,016,695","1,037,431","1,058,839","1,080,767","1,103,003","1,125,392","1,147,908","1,170,619","1,193,585","1,216,902","1,240,655","1,264,855","1,289,526","1,314,795","1,340,814","1,367,695","1,395,492","1,424,191","1,453,757","1,484,120","1,515,224","1,547,061","1,579,632","1,612,913"
Guyana,"720,738","729,796","735,823","739,970","743,915","748,809","755,174","762,481","769,570","774,748","776,856","775,589","771,521","765,434","758,499","751,636","745,015","738,589","732,806","728,147","724,931","723,448","723,615","724,909","726,552","727,979","728,990","729,743","730,458","731,496","733,101","735,327","738,011","740,925","743,743","746,235","748,321","750,068","751,578","753,013","754,493","756,040","757,623","759,262"
Haiti,"4,709,644","4,794,158","4,877,645","4,961,817","5,049,035","5,141,143","5,238,431","5,340,812","5,449,236","5,564,724","5,687,812","5,819,084","5,957,920","6,102,119","6,248,634","6,395,193","6,540,928","6,686,182","6,831,374","6,977,397","7,124,877","7,273,530","7,422,881","7,573,160","7,724,690","7,877,569","8,031,903","8,187,204","8,342,233","8,495,358","8,645,371","8,791,931","8,935,252","9,075,399","9,212,634","9,347,262","9,479,136","9,608,453","9,736,332","9,864,241","9,993,247","10,123,787","10,255,644","10,388,424"
Holy See,648,644,660,685,711,729,737,737,733,728,726,728,731,736,742,747,752,757,762,766,770,772,773,774,776,781,791,804,814,809,787,742,678,607,541,492,462,450,450,455,458,459,460,460
Honduras,"2,688,208","2,763,122","2,841,609","2,924,118","3,011,047","3,102,649","3,199,231","3,300,735","3,406,539","3,515,736","3,627,640","3,741,932","3,858,691","3,978,080","4,100,422","4,225,870","4,354,245","4,485,151","4,618,245","4,753,109","4,889,311","5,026,843","5,165,380","5,303,798","5,440,691","5,575,099","5,706,605","5,835,607","5,963,008","6,090,164","6,218,151","6,347,272","6,477,525","6,609,337","6,743,128","6,879,243","7,017,769","7,158,819","7,302,742","7,449,923","7,600,524","7,754,687","7,912,032","8,071,522"
"Hong Kong, China","3,958,092","4,005,661","4,068,311","4,147,503","4,243,420","4,355,208","4,485,716","4,633,225","4,786,467","4,930,176","5,053,554","5,151,920","5,228,670","5,291,060","5,350,313","5,414,630","5,486,801","5,564,427","5,644,480","5,721,987","5,793,857","5,857,068","5,914,114","5,973,754","6,048,024","6,144,316","6,268,283","6,414,109","6,563,860","6,692,636","6,783,317","6,828,869","6,836,766","6,822,233","6,807,752","6,809,859","6,832,989","6,872,780","6,926,368","6,987,976","7,053,189","7,122,187","7,196,450","7,274,125"
Hungary,"10,315,420","10,354,275","10,393,745","10,434,264","10,476,458","10,520,246","10,566,645","10,614,041","10,656,575","10,686,489","10,698,534","10,690,574","10,665,068","10,627,145","10,584,347","10,542,504","10,502,732","10,464,389","10,429,422","10,399,695","10,376,320","10,360,831","10,352,695","10,348,284","10,342,427","10,331,403","10,313,993","10,291,342","10,264,982","10,237,422","10,210,545","10,184,663","10,159,273","10,134,513","10,110,393","10,086,936","10,064,274","10,042,572","10,021,886","10,002,247","9,983,645","9,966,116","9,949,589","9,933,795"
Iceland,"204,101","206,821","209,722","212,673","215,485","218,031","220,260","222,238","224,096","226,025","228,160","230,543","233,131","235,861","238,641","241,398","244,124","246,837","249,526","252,179","254,793","257,359","259,881","262,386","264,909","267,478","270,119","272,836","275,608","278,403","281,210","283,992","286,783","289,724","293,004","296,743","301,010","305,721","310,666","315,543","320,136","324,366","328,290","331,996"
India,"553,873,890","566,651,479","579,871,075","593,526,633","607,606,569","622,096,682","636,992,593","652,279,308","667,917,437","683,857,312","700,058,589","716,493,309","733,151,769","750,033,539","767,146,806","784,490,842","802,051,806","819,800,055","837,699,675","855,707,358","873,785,449","891,910,180","910,064,576","928,226,051","946,373,316","964,486,155","982,553,253","1,000,558,144","1,018,471,141","1,036,258,683","1,053,898,107","1,071,374,264","1,088,694,080","1,105,885,689","1,122,991,192","1,140,042,863","1,157,038,539","1,173,971,629","1,190,863,679","1,207,740,408","1,224,614,327","1,241,491,960","1,258,350,971","1,275,137,828"
Indonesia,"118,361,740","121,405,753","124,507,744","127,662,293","130,863,441","134,105,926","137,382,075","140,688,052","144,026,720","147,403,681","150,820,044","154,275,429","157,758,440","161,245,684","164,706,919","168,119,209","171,472,345","174,767,379","178,006,800","181,197,879","184,345,939","187,451,800","190,512,441","193,525,648","196,488,446","199,400,339","202,257,039","205,063,468","207,839,287","210,610,776","213,395,411","216,203,499","219,026,365","221,839,235","224,606,531","227,303,175","229,918,547","232,461,746","234,951,154","237,414,495","239,870,937","242,325,638","244,769,110","247,188,189"
Iran,"28,662,011","29,421,198","30,197,689","31,006,191","31,866,190","32,793,173","33,788,867","34,853,522","35,998,637","37,237,306","38,576,541","40,012,129","41,533,339","43,130,529","44,790,735","46,497,235","48,257,311","50,052,662","51,810,746","53,437,770","54,870,583","56,071,545","57,067,645","57,940,444","58,808,655","59,757,114","60,815,686","61,955,730","63,133,032","64,278,307","65,342,319","66,313,553","67,212,850","68,061,695","68,893,323","69,732,007","70,582,086","71,435,498","72,289,291","73,137,148","73,973,630","74,798,599","75,611,798","76,407,013"
Iraq,"10,021,785","10,358,219","10,700,247","11,049,889","11,410,460","11,783,644","12,170,881","12,569,201","12,970,635","13,364,514","13,743,534","14,106,693","14,457,565","14,799,456","15,137,560","15,477,228","15,818,309","16,164,205","16,528,250","16,927,393","17,373,767","17,871,623","18,417,924","19,008,018","19,633,844","20,288,226","20,972,915","21,686,777","22,416,190","23,143,629","23,857,458","24,552,000","25,233,067","25,914,982","26,618,523","27,359,461","28,140,999","28,960,581","29,821,136","30,724,614","31,671,591","32,664,942","33,703,068","34,776,205"
Ireland,"2,963,020","2,997,907","3,039,128","3,085,214","3,134,031","3,183,759","3,233,907","3,284,081","3,332,644","3,377,699","3,417,798","3,452,589","3,482,073","3,505,714","3,523,059","3,534,103","3,538,519","3,537,244","3,533,181","3,530,188","3,531,219","3,537,626","3,549,302","3,565,952","3,586,685","3,610,958","3,638,457","3,669,860","3,706,687","3,750,945","3,803,780","3,865,820","3,935,781","4,010,506","4,085,676","4,158,042","4,226,428","4,291,258","4,352,866","4,412,181","4,469,900","4,525,802","4,579,498","4,631,391"
Isle of Man,"56,717","57,717","58,567","59,331","60,102","60,945","61,904","62,938","63,923","64,684","65,112","65,132","64,820","64,407","64,209","64,448","65,226","66,450","67,904","69,265","70,313","70,963","71,305","71,484","71,724","72,183","72,908","73,832","74,870","75,892","76,803","77,577","78,246","78,840","79,410","79,994","80,598","81,203","81,798","82,358","82,869","83,327","83,739","84,111"
Israel,"2,849,534","2,936,585","3,033,863","3,137,027","3,239,653","3,336,984","3,428,067","3,514,143","3,595,324","3,672,295","3,745,797","3,816,400","3,884,594","3,951,159","4,017,024","4,083,495","4,149,457","4,216,475","4,291,626","4,384,139","4,499,949","4,642,324","4,807,603","4,986,162","5,164,345","5,332,079","5,486,774","5,630,785","5,765,115","5,892,366","6,014,953","6,131,313","6,241,593","6,352,106","6,471,236","6,604,572","6,755,143","6,920,182","7,092,324","7,260,949","7,418,400","7,562,194","7,694,670","7,818,860"
